what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436276464701
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436276489748
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436276493629
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436276497186
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1436276501278
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436276529798
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436276531204
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436276540271
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436276542484
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436276547995
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436276551211
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436276554655
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1436276554744
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436276602202
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436276606909
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436276616899
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436276618898
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436276631090
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436276632757
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1436276632811
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436276680656
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436276686221
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436276691931
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436276694367
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436276694562
