what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1436271259012
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1436271259014
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1436271259046
os,sysinfo,,,"win32",1436271259054
arch,sysinfo,,,"x86",1436271259054
ws,sysinfo,,,"win32",1436271259054
locale,sysinfo,,,"pt_BR",1436271259054
processors,sysinfo,,,"4",1436271259054
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1436271259054
java.runtime.version,sysinfo,,,"1.8.0_40-b26",1436271259054
java.specification.name,sysinfo,,,"Java Platform API Specification",1436271259054
java.specification.vendor,sysinfo,,,"Oracle Corporation",1436271259054
java.specification.version,sysinfo,,,"1.8",1436271259054
java.vendor,sysinfo,,,"Oracle Corporation",1436271259054
java.version,sysinfo,,,"1.8.0_40",1436271259054
java.vm.info,sysinfo,,,"mixed mode",1436271259054
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1436271259054
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1436271259054
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1436271259054
java.vm.specification.version,sysinfo,,,"1.8",1436271259054
java.vm.vendor,sysinfo,,,"Oracle Corporation",1436271259054
java.vm.version,sysinfo,,,"25.40-b25",1436271259054
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1436271259532
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1436271259629
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1436271259701
