what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436273350310
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436273354130
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436273354475
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436273360093
started,bundle,org.eclipse.mylyn.java.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.ui",1436273488802
started,bundle,org.eclipse.pde.api.tools,1.0.100.v20090526,"org.eclipse.pde.api.tools",1436273489704
started,bundle,org.eclipse.pde.api.tools.ui,1.0.100.v20090526,"org.eclipse.pde.api.tools.ui",1436273489777
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436273596780
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436273597853
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436273600213
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436274096947
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1436274147214
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1436274157948
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1436274348784
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1436274355382
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1436274357883
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436274454373
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436274757394
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436274758603
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436274761353
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436274766908
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436274768490
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436274789468
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436274789921
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1436274796994
