what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436295344686
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436295345628
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436295351147
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436295352419
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436295356280
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436295422130
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436295488221
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436295569684
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436295576759
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436295639349
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436295656115
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436295729525
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1436295744921
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436295852704
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436295863413
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436295864926
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1436295869502
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436295870153
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1436295872517
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436295872808
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1436295890923
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436295929412
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1436295941056
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436295972056
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1436295974387
