what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436139476511
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436139500997
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436139528000
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436139531032
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436139534365
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436139547566
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436139718255
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1436139728277
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436139738648
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436139783671
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436140188566
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1436140195388
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436140220008
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436140225702
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436140227042
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436140228992
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436140230424
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436142287269
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436142311224
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436142365647
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436142401400
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436142448789
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436142448943
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436142450761
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436142527244
