what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1436136225101
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436136268299
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1436136283351
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436136396326
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436136429589
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436136435471
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436136469422
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436136474132
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1436136493725
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1436136495845
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436136497840
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1436136509133
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436136529687
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436136565032
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436136568719
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436136569474
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436136599018
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436136603146
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436136609930
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436136641571
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436136646794
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436136652013
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1436136663896
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436136664324
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436136665347
