what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436132772441
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436132782006
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436132782369
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1436132782389
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436132788821
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436132881700
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436132882586
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436132882758
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436132886888
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436132888200
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436132888661
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436132902753
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1436132908428
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436132915447
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1436132919015
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1436132945135
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436132992352
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436133006656
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436133010656
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436133148688
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1436133165521
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436133167997
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436133199865
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436133203814
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436133206913
