what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436134415877
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436134419290
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436134421275
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436134426747
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436134431084
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436134436037
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436134438524
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436134439693
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436134441625
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436134447659
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436134448402
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436134484962
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436134519156
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436134526790
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1436134540199
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1436134540538
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436134561837
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1436134584922
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436134585361
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436134585584
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436134640448
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436134658763
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1436134668960
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436134670058
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1436134680318
