what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Oracle Corporation",1436125904665
java.specification.version,sysinfo,,,"1.8",1436125904665
java.vendor,sysinfo,,,"Oracle Corporation",1436125904665
java.version,sysinfo,,,"1.8.0_40",1436125904665
java.vm.info,sysinfo,,,"mixed mode",1436125904665
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1436125904665
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1436125904665
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1436125904665
java.vm.specification.version,sysinfo,,,"1.8",1436125904665
java.vm.vendor,sysinfo,,,"Oracle Corporation",1436125904665
java.vm.version,sysinfo,,,"25.40-b25",1436125904665
started,bundle,org.eclipse.mylyn.commons.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.ui",1436125904939
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1436125906604
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1436125906739
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1436125908198
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1436125908215
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1436125908247
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1436125908268
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1436125908271
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1436125908453
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1436125911012
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1436125911013
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1436125911263
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1436125912515
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1436125912636
