what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436137803018
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436137806528
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436137810826
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436137826427
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436137828635
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436137957768
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436137995550
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436137998107
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436138038277
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436138181792
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436138182896
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436138209173
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436138220354
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436138240541
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436138241605
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436138267765
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436138273135
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436138274894
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436138277082
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436138281451
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436138282172
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436138282463
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436138283784
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436138289038
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436138290656
