what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1436238930786
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1436238930810
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1436238930812
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1436238930855
os,sysinfo,,,"win32",1436238930862
arch,sysinfo,,,"x86",1436238930862
ws,sysinfo,,,"win32",1436238930862
locale,sysinfo,,,"pt_BR",1436238930862
processors,sysinfo,,,"4",1436238930862
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1436238930862
java.runtime.version,sysinfo,,,"1.8.0_40-b26",1436238930863
java.specification.name,sysinfo,,,"Java Platform API Specification",1436238930863
java.specification.vendor,sysinfo,,,"Oracle Corporation",1436238930863
java.specification.version,sysinfo,,,"1.8",1436238930863
java.vendor,sysinfo,,,"Oracle Corporation",1436238930863
java.version,sysinfo,,,"1.8.0_40",1436238930863
java.vm.info,sysinfo,,,"mixed mode",1436238930863
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1436238930863
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1436238930863
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1436238930863
java.vm.specification.version,sysinfo,,,"1.8",1436238930863
java.vm.vendor,sysinfo,,,"Oracle Corporation",1436238930863
java.vm.version,sysinfo,,,"25.40-b25",1436238930863
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1436238931011
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1436238931525
