what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436293667284
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436293793886
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436293796458
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436293797741
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1436293808309
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436293903000
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436293906273
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436293937441
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436293943162
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436293971790
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1436293977140
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436293983758
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436294198591
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436294445497
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436294542690
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436294557727
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436294559273
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436294560223
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436294562849
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436294577413
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436294628799
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436294797716
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1436294990033
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1436294990145
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1436295215782
