what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436292367597
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436292372083
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436292375305
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436292544640
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1436292573585
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436292616106
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436292639146
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436292931796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436292933112
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436292934714
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436292936551
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436293430593
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436293500186
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436293510631
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436293559572
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436293563193
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436293563952
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436293567629
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436293570065
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436293570595
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436293572447
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436293574765
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436293592902
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436293593215
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436293666111
