what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"pt_BR",1436186203761
processors,sysinfo,,,"4",1436186203761
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1436186203761
java.runtime.version,sysinfo,,,"1.8.0_40-b26",1436186203761
java.specification.name,sysinfo,,,"Java Platform API Specification",1436186203761
java.specification.vendor,sysinfo,,,"Oracle Corporation",1436186203761
java.specification.version,sysinfo,,,"1.8",1436186203761
java.vendor,sysinfo,,,"Oracle Corporation",1436186203761
java.version,sysinfo,,,"1.8.0_40",1436186203761
java.vm.info,sysinfo,,,"mixed mode",1436186203761
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1436186203761
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1436186203761
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1436186203761
java.vm.specification.version,sysinfo,,,"1.8",1436186203761
java.vm.vendor,sysinfo,,,"Oracle Corporation",1436186203761
java.vm.version,sysinfo,,,"25.40-b25",1436186203761
started,bundle,org.eclipse.mylyn.commons.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.ui",1436186203855
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1436186204245
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1436186204526
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1436186204604
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1436186204900
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1436186205446
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1436186205462
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1436186205618
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1436186205852
